월,주,일,연중주수,장소,얼룩날개모기류(Anopheles spp.),기타모기류(Culicidae spp.),"기타모기류(이나토미집모기,Cx.ina)","기타모기류(반점날개집모기, Cx.bit.)","기타모기류(동양집모기, Cx.ori.)","기타모기류(빨간집모기, Cx.pip.)","기타모기류(작은빨간집모기, Cx.tri.)","기타모기류(줄다리집모기, Cx.vag)","기타모기류(노랑늪모기, Coq.och)","기타모기류(반점날개늪모기, Man.uni)","기타모기류(흰줄숲모기, Ae.alb.)","기타모기류(금빛숲모기, Ae.vex.)","기타모기류(한국숲모기, Oc.kor.)","기타모기류(토고숲모기, Oc.tog.)","기타모기류(등줄숲모기, Oc.dor.)","기타모기류(큰검정들모기, Ar.sub.)","기타모기류(금빛어깨숲모기, Ae.lin.)"
4,3주,13~19,16주,부평구 부평동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3주,13~19,16주, 서구 연희동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3주,13~19,16주, 서구 백석동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3주,13~19,16주,중구 운남동 (영종도),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3주,13~19,16주,강화 송해면 (숭뢰리),1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
4,3주,13~19,16주,강화 송해면 (솔정리),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,3주,13~19,16주,강화 선원면 (금월리),0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4,3주,13~19,16주,강화 삼산면 (석모리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3주,13~19,16주,강화 교동면 (대룡리),0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
4,3주,13~19,16주,강화 강화읍 (대산리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3주,13~19,16주,강화 강화읍 (월곳리),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,4주,20~26,17주,계양구 선주지동,0,38,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0
4,4주,20~26,17주,부평구 부평동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4주,20~26,17주, 서구 연희동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4주,20~26,17주, 서구 백석동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4주,20~26,17주,중구 운남동 (영종도),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4주,20~26,17주,강화 송해면 (숭뢰리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4주,20~26,17주,강화 송해면 (솔정리),0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
4,4주,20~26,17주,강화 선원면 (금월리),0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
4,4주,20~26,17주,강화 삼산면 (석모리),0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
4,4주,20~26,17주,강화 교동면 (대룡리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4주,20~26,17주,강화 강화읍 (대산리),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,4주,20~26,17주,강화 강화읍 (월곳리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5주,27~3,18주,계양구 선주지동,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
4,5주,27~3,18주,부평구 부평동,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
4,5주,27~3,18주, 서구 연희동,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
4,5주,27~3,18주, 서구 백석동,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
4,5주,27~3,18주,중구 운남동 (영종도),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5주,27~3,18주,강화 송해면 (숭뢰리),0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
4,5주,27~3,18주,강화 송해면 (솔정리),2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,5주,27~3,18주,강화 선원면 (금월리),0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
4,5주,27~3,18주,강화 삼산면 (석모리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5주,27~3,18주,강화 교동면 (대룡리),0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
4,5주,27~3,18주,강화 강화읍 (대산리),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,5주,27~3,18주,강화 강화읍 (월곳리),0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5,1주,4~10,19주,계양구 선주지동,0,162,0,0,0,161,0,0,0,0,0,0,1,0,0,0,0
5,1주,4~10,19주,부평구 부평동,0,27,0,0,0,26,0,0,0,0,0,0,1,0,0,0,0
5,1주,4~10,19주, 서구 연희동,0,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
5,1주,4~10,19주, 서구 백석동,0,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
5,1주,4~10,19주,중구 운남동 (영종도),0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
5,1주,4~10,19주,강화 송해면 (숭뢰리),0,11,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0
5,1주,4~10,19주,강화 송해면 (솔정리),0,98,0,0,0,89,0,0,0,0,0,9,0,0,0,0,0
5,1주,4~10,19주,강화 선원면 (금월리),0,36,0,0,0,32,0,0,0,0,0,2,2,0,0,0,0
5,1주,4~10,19주,강화 삼산면 (석모리),0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
5,1주,4~10,19주,강화 교동면 (대룡리),0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
5,1주,4~10,19주,강화 강화읍 (대산리),0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
5,1주,4~10,19주,강화 강화읍 (월곳리),0,31,0,0,0,29,0,0,0,0,0,2,0,0,0,0,0
5,2주,11~17,20주,계양구 선주지동,0,1536,0,0,0,17,0,0,0,0,0,1516,3,0,0,0,0
5,2주,11~17,20주,부평구 부평동,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
5,2주,11~17,20주, 서구 연희동,0,4,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0
5,2주,11~17,20주, 서구 백석동,0,87,0,0,0,75,0,0,0,0,0,8,0,0,2,0,2
5,2주,11~17,20주,중구 운남동 (영종도),0,20,0,0,0,13,0,0,0,0,0,2,0,0,0,0,5
5,2주,11~17,20주,강화 송해면 (숭뢰리),0,8,0,0,0,1,0,0,0,0,0,0,1,0,0,6,0
5,2주,11~17,20주,강화 송해면 (솔정리),0,46,0,0,0,27,0,0,0,0,0,19,0,0,0,0,0
5,2주,11~17,20주,강화 선원면 (금월리),0,65,0,0,0,26,0,0,0,0,0,13,6,0,20,0,0
5,2주,11~17,20주,강화 삼산면 (석모리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2주,11~17,20주,강화 교동면 (대룡리),0,13,0,0,0,9,0,0,0,0,0,3,0,0,1,0,0
5,2주,11~17,20주,강화 강화읍 (대산리),0,28,0,0,0,3,0,0,0,0,0,18,0,0,7,0,0
5,2주,11~17,20주,강화 강화읍 (월곳리),0,49,0,0,0,23,0,0,0,0,0,26,0,0,0,0,0
5,3주,18~24,21주,계양구 선주지동,0,224,0,0,0,69,0,0,0,0,0,155,0,0,0,0,0
5,3주,18~24,21주,부평구 부평동,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
5,3주,18~24,21주, 서구 연희동,0,5,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
5,3주,18~24,21주, 서구 백석동,1,92,0,0,0,70,0,0,0,0,0,17,2,0,3,0,0
5,3주,18~24,21주,중구 운남동 (영종도),0,14,0,0,0,10,0,0,0,0,0,1,3,0,0,0,0
5,3주,18~24,21주,강화 송해면 (숭뢰리),1,32,0,0,0,4,0,0,0,0,0,6,0,0,0,22,0
5,3주,18~24,21주,강화 송해면 (솔정리),0,171,0,0,0,53,0,0,0,0,0,118,0,0,0,0,0
5,3주,18~24,21주,강화 선원면 (금월리),0,237,0,0,0,14,0,0,0,0,0,223,0,0,0,0,0
5,3주,18~24,21주,강화 삼산면 (석모리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3주,18~24,21주,강화 교동면 (대룡리),0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
5,3주,18~24,21주,강화 강화읍 (대산리),0,79,0,0,0,1,0,0,0,0,0,78,0,0,0,0,0
5,3주,18~24,21주,강화 강화읍 (월곳리),2,124,0,0,0,10,0,0,0,0,0,113,1,0,0,0,0
5,4주,25~31,22주,계양구 선주지동,0,184,0,0,0,47,0,0,0,0,0,135,2,0,0,0,0
5,4주,25~31,22주,부평구 부평동,0,17,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0
5,4주,25~31,22주, 서구 연희동,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,4주,25~31,22주, 서구 백석동,0,25,0,0,0,10,0,0,0,0,0,1,2,0,0,12,0
5,4주,25~31,22주,중구 운남동 (영종도),0,54,0,0,0,26,0,0,0,0,0,22,4,0,2,0,0
5,4주,25~31,22주,강화 송해면 (숭뢰리),0,111,0,0,0,27,0,0,0,0,0,82,0,0,0,2,0
5,4주,25~31,22주,강화 송해면 (솔정리),0,124,0,0,0,76,0,0,0,0,0,44,4,0,0,0,0
5,4주,25~31,22주,강화 선원면 (금월리),0,129,0,0,0,7,0,0,0,0,0,122,0,0,0,0,0
5,4주,25~31,22주,강화 삼산면 (석모리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4주,25~31,22주,강화 교동면 (대룡리),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,4주,25~31,22주,강화 강화읍 (대산리),0,56,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0
5,4주,25~31,22주,강화 강화읍 (월곳리),0,125,0,0,0,16,0,0,0,0,0,109,0,0,0,0,0
6,1주,1~7,23주,계양구 선주지동,0,151,0,0,0,38,0,0,0,0,0,110,2,0,0,1,0
6,1주,1~7,23주,부평구 부평동,0,19,0,0,0,15,0,0,0,0,0,1,1,0,2,0,0
6,1주,1~7,23주, 서구 연희동,0,7,0,0,0,1,0,0,0,0,0,3,1,0,1,1,0
6,1주,1~7,23주, 서구 백석동,0,128,0,0,0,87,0,0,0,0,0,14,2,0,25,0,0
6,1주,1~7,23주,중구 운남동 (영종도),0,59,0,0,0,20,0,0,0,0,2,16,16,0,4,1,0
6,1주,1~7,23주,강화 송해면 (숭뢰리),0,63,0,0,0,8,0,0,0,0,0,40,6,0,0,9,0
6,1주,1~7,23주,강화 송해면 (솔정리),0,48,0,0,0,2,0,0,0,0,0,43,0,0,0,3,0
6,1주,1~7,23주,강화 선원면 (금월리),0,73,0,0,0,10,0,0,0,0,0,60,1,0,1,1,0
6,1주,1~7,23주,강화 삼산면 (석모리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1주,1~7,23주,강화 교동면 (대룡리),0,12,0,0,0,3,0,0,0,0,0,6,1,0,1,1,0
6,1주,1~7,23주,강화 강화읍 (대산리),0,86,0,0,0,0,0,0,0,0,0,85,1,0,0,0,0
6,1주,1~7,23주,강화 강화읍 (월곳리),0,82,0,0,0,5,0,0,0,0,0,73,4,0,0,0,0
6,2주,8~14,24주,계양구 선주지동,2,43,0,0,0,18,0,0,0,0,0,22,3,0,0,0,0
6,2주,8~14,24주,부평구 부평동,0,22,0,0,0,20,0,0,0,0,0,1,1,0,0,0,0
6,2주,8~14,24주, 서구 연희동,0,11,0,0,0,3,0,0,0,0,0,7,0,0,1,0,0
6,2주,8~14,24주, 서구 백석동,0,174,0,0,0,154,0,0,1,2,0,11,1,0,5,0,0
6,2주,8~14,24주,중구 운남동 (영종도),1,96,0,0,0,26,0,0,0,0,0,45,21,0,4,0,0
6,2주,8~14,24주,강화 송해면 (숭뢰리),3,53,0,0,0,4,0,0,0,0,0,35,11,0,0,3,0
6,2주,8~14,24주,강화 송해면 (솔정리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2주,8~14,24주,강화 선원면 (금월리),3,49,0,0,0,4,0,0,0,0,0,40,5,0,0,0,0
6,2주,8~14,24주,강화 삼산면 (석모리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2주,8~14,24주,강화 교동면 (대룡리),0,26,0,0,1,1,0,0,0,0,1,13,0,0,0,10,0
6,2주,8~14,24주,강화 강화읍 (대산리),1,38,0,0,0,2,0,0,0,0,0,34,1,0,0,1,0
6,2주,8~14,24주,강화 강화읍 (월곳리),2,30,0,0,0,1,0,0,0,0,1,25,1,0,0,2,0
6,3주,15~21,25주,계양구 선주지동,10,86,0,37,1,38,0,0,0,0,1,7,2,0,0,0,0
6,3주,15~21,25주,부평구 부평동,0,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
6,3주,15~21,25주, 서구 연희동,0,5,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
6,3주,15~21,25주, 서구 백석동,0,86,0,3,0,75,0,0,3,1,0,1,1,0,2,0,0
6,3주,15~21,25주,중구 운남동 (영종도),0,94,0,1,2,48,0,0,0,0,3,27,9,0,2,2,0
6,3주,15~21,25주,강화 송해면 (숭뢰리),7,91,0,0,0,16,0,0,0,0,0,35,16,0,0,24,0
6,3주,15~21,25주,강화 송해면 (솔정리),0,91,0,0,2,34,0,0,0,0,0,39,6,0,2,8,0
6,3주,15~21,25주,강화 선원면 (금월리),2,34,0,0,0,27,0,0,0,0,0,3,2,0,1,1,0
6,3주,15~21,25주,강화 삼산면 (석모리),12,41,0,0,0,3,0,0,0,0,0,18,4,0,16,0,0
6,3주,15~21,25주,강화 교동면 (대룡리),0,49,0,0,0,9,0,0,0,0,8,12,13,0,2,5,0
6,3주,15~21,25주,강화 강화읍 (대산리),10,65,0,0,0,12,0,0,0,0,0,36,16,0,1,0,0
6,3주,15~21,25주,강화 강화읍 (월곳리),3,30,0,0,0,3,0,0,0,0,1,20,5,0,1,0,0
6,4주,22~28,26주,계양구 선주지동,41,160,0,102,0,36,0,0,0,0,1,7,12,0,0,2,0
6,4주,22~28,26주,부평구 부평동,1,22,0,0,0,21,0,0,0,0,0,0,1,0,0,0,0
6,4주,22~28,26주, 서구 연희동,0,4,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
6,4주,22~28,26주, 서구 백석동,5,160,0,3,0,152,0,0,3,0,0,0,2,0,0,0,0
6,4주,22~28,26주,중구 운남동 (영종도),30,124,0,0,0,79,0,0,0,0,1,11,25,0,2,6,0
6,4주,22~28,26주,강화 송해면 (숭뢰리),50,159,0,0,1,18,0,0,0,0,2,39,10,0,0,89,0
6,4주,22~28,26주,강화 송해면 (솔정리),11,40,0,0,0,17,0,0,0,0,0,12,2,0,0,9,0
6,4주,22~28,26주,강화 선원면 (금월리),13,41,0,0,1,14,0,0,0,0,1,8,17,0,0,0,0
6,4주,22~28,26주,강화 삼산면 (석모리),4,21,0,0,0,0,0,0,0,0,1,18,1,0,1,0,0
6,4주,22~28,26주,강화 교동면 (대룡리),1,50,0,0,0,22,0,0,0,0,4,14,6,0,0,4,0
6,4주,22~28,26주,강화 강화읍 (대산리),7,31,0,0,0,13,0,0,0,0,0,18,0,0,0,0,0
6,4주,22~28,26주,강화 강화읍 (월곳리),7,22,0,0,0,8,0,0,0,0,0,12,2,0,0,0,0
7,1주,29~5,27주,계양구 선주지동,47,404,0,230,9,128,0,0,0,0,0,25,8,0,0,4,0
7,1주,29~5,27주,부평구 부평동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1주,29~5,27주, 서구 연희동,1,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
7,1주,29~5,27주, 서구 백석동,4,125,0,0,0,111,0,0,1,9,0,2,2,0,0,0,0
7,1주,29~5,27주,중구 운남동 (영종도),9,88,0,1,0,55,0,0,0,0,0,3,22,0,1,6,0
7,1주,29~5,27주,강화 송해면 (숭뢰리),144,147,0,0,2,30,0,0,0,0,0,23,3,0,0,89,0
7,1주,29~5,27주,강화 송해면 (솔정리),64,143,0,5,14,97,0,0,0,0,2,5,6,0,0,14,0
7,1주,29~5,27주,강화 선원면 (금월리),20,46,0,2,6,26,0,0,0,0,0,0,11,0,1,0,0
7,1주,29~5,27주,강화 삼산면 (석모리),45,18,0,0,0,6,0,0,0,0,0,2,2,0,0,8,0
7,1주,29~5,27주,강화 교동면 (대룡리),4,127,0,6,5,92,0,0,0,0,0,1,20,0,0,3,0
7,1주,29~5,27주,강화 강화읍 (대산리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1주,29~5,27주,강화 강화읍 (월곳리),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2주,6~12,28주,계양구 선주지동,18,203,0,84,0,88,0,0,0,0,0,25,3,0,0,3,0
7,2주,6~12,28주,부평구 부평동,4,27,0,0,0,24,0,0,0,0,0,2,1,0,0,0,0
7,2주,6~12,28주, 서구 연희동,2,9,0,0,0,5,0,0,0,0,0,0,1,0,3,0,0
7,2주,6~12,28주, 서구 백석동,5,69,0,3,1,58,0,0,4,0,0,2,1,0,0,0,0
7,2주,6~12,28주,중구 운남동 (영종도),15,86,0,0,3,15,0,0,0,0,1,23,34,0,9,1,0
7,2주,6~12,28주,강화 송해면 (숭뢰리),45,147,0,0,7,14,0,0,0,0,1,35,10,0,0,80,0
7,2주,6~12,28주,강화 송해면 (솔정리),18,101,0,1,3,42,0,0,0,0,0,17,0,0,0,38,0
7,2주,6~12,28주,강화 선원면 (금월리),20,90,0,1,7,40,0,0,0,0,1,26,9,0,5,1,0
7,2주,6~12,28주,강화 삼산면 (석모리),178,41,0,1,0,16,0,0,0,0,0,7,6,0,5,6,0
7,2주,6~12,28주,강화 교동면 (대룡리),1,71,0,1,2,43,0,0,0,0,0,8,0,0,0,17,0
7,2주,6~12,28주,강화 강화읍 (대산리),49,123,0,0,0,8,0,0,0,0,0,106,3,0,0,6,0
7,2주,6~12,28주,강화 강화읍 (월곳리),1,6,0,2,0,1,0,0,0,0,0,2,0,0,0,1,0
7,3주,13~19,29주,계양구 선주지동,8,101,0,15,1,58,0,0,0,1,0,21,5,0,0,0,0
7,3주,13~19,29주,부평구 부평동,2,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
7,3주,13~19,29주, 서구 연희동,0,5,0,0,0,1,0,0,0,0,0,2,0,0,1,1,0
7,3주,13~19,29주, 서구 백석동,8,94,0,0,0,73,0,0,5,10,0,3,1,0,0,2,0
7,3주,13~19,29주,중구 운남동 (영종도),15,72,0,0,0,14,0,0,0,0,1,18,36,0,3,0,0
7,3주,13~19,29주,강화 송해면 (숭뢰리),76,196,0,0,7,16,0,0,0,0,0,68,4,0,0,101,0
7,3주,13~19,29주,강화 송해면 (솔정리),8,23,0,0,0,5,0,0,0,0,1,9,3,0,0,5,0
7,3주,13~19,29주,강화 선원면 (금월리),35,73,0,0,7,14,0,0,0,0,2,36,8,0,3,3,0
7,3주,13~19,29주,강화 삼산면 (석모리),429,121,0,0,0,59,0,0,0,0,1,24,21,0,6,10,0
7,3주,13~19,29주,강화 교동면 (대룡리),6,69,0,0,1,38,0,0,0,0,0,4,15,0,0,11,0
7,3주,13~19,29주,강화 강화읍 (대산리),29,31,0,1,0,6,0,0,0,0,0,21,2,0,0,1,0
7,3주,13~19,29주,강화 강화읍 (월곳리),23,37,0,0,2,7,0,0,0,0,0,22,6,0,0,0,0
7,4주,20~26,30주,계양구 선주지동,11,98,0,38,5,33,0,0,0,0,1,12,9,0,0,0,0
7,4주,20~26,30주,부평구 부평동,3,39,0,0,0,36,0,0,0,0,0,2,1,0,0,0,0
7,4주,20~26,30주, 서구 연희동,1,4,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
7,4주,20~26,30주, 서구 백석동,4,37,0,0,0,26,0,0,1,4,0,3,2,0,0,1,0
7,4주,20~26,30주,중구 운남동 (영종도),15,98,0,0,0,27,0,0,0,0,5,10,52,0,3,1,0
7,4주,20~26,30주,강화 송해면 (숭뢰리),36,188,0,0,8,7,0,0,0,0,0,12,7,0,0,154,0
7,4주,20~26,30주,강화 송해면 (솔정리),23,96,0,0,2,28,0,0,0,0,0,33,5,0,0,28,0
7,4주,20~26,30주,강화 선원면 (금월리),3,20,0,0,3,6,0,0,0,0,0,8,0,0,1,1,1
7,4주,20~26,30주,강화 삼산면 (석모리),476,116,0,0,0,48,0,0,0,0,1,18,28,0,6,15,0
7,4주,20~26,30주,강화 교동면 (대룡리),2,16,0,0,0,7,0,0,0,0,0,2,5,0,0,2,0
7,4주,20~26,30주,강화 강화읍 (대산리),20,22,0,0,0,1,0,0,0,0,0,20,0,0,0,1,0
7,4주,20~26,30주,강화 강화읍 (월곳리),10,27,0,0,1,6,0,0,0,0,0,14,4,0,1,1,0
7,5주,27~2,31주,계양구 선주지동,22,35,0,1,1,18,0,0,0,0,1,1,4,0,3,6,0
7,5주,27~2,31주,부평구 부평동,1,35,0,0,0,31,0,0,0,0,0,1,2,0,0,0,1
7,5주,27~2,31주, 서구 연희동,6,7,0,0,0,2,0,0,0,0,1,2,2,0,0,0,0
7,5주,27~2,31주, 서구 백석동,2,15,0,0,0,10,0,0,1,2,0,0,1,0,0,1,0
7,5주,27~2,31주,중구 운남동 (영종도),4,20,0,0,0,6,0,0,0,0,1,1,10,0,1,1,0
7,5주,27~2,31주,강화 송해면 (숭뢰리),100,232,0,1,26,13,0,0,0,0,0,109,21,0,0,62,0
7,5주,27~2,31주,강화 송해면 (솔정리),30,143,0,0,17,35,0,0,0,0,0,36,7,0,1,47,0
7,5주,27~2,31주,강화 선원면 (금월리),11,48,0,0,13,13,0,0,0,0,2,13,6,0,0,1,0
7,5주,27~2,31주,강화 삼산면 (석모리),274,21,0,0,2,7,0,0,0,0,0,0,4,0,0,4,4
7,5주,27~2,31주,강화 교동면 (대룡리),3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
7,5주,27~2,31주,강화 강화읍 (대산리),12,18,0,0,0,2,0,0,0,0,0,4,11,0,0,1,0
7,5주,27~2,31주,강화 강화읍 (월곳리),16,18,0,0,2,5,0,0,0,0,0,10,1,0,0,0,0
8,1주,3~9,32주,계양구 선주지동,18,87,0,8,15,39,0,0,0,0,5,14,5,0,0,1,0
8,1주,3~9,32주,부평구 부평동,1,34,0,1,0,33,0,0,0,0,0,0,0,0,0,0,0
8,1주,3~9,32주, 서구 연희동,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,1주,3~9,32주, 서구 백석동,13,21,0,0,0,12,0,0,1,2,0,1,0,0,1,1,3
8,1주,3~9,32주,중구 운남동 (영종도),8,15,0,0,2,2,0,0,0,0,2,2,5,0,0,2,0
8,1주,3~9,32주,강화 송해면 (숭뢰리),27,129,0,1,30,2,0,0,0,0,1,5,10,0,0,80,0
8,1주,3~9,32주,강화 송해면 (솔정리),4,75,0,0,13,25,0,0,0,0,0,2,4,0,0,31,0
8,1주,3~9,32주,강화 선원면 (금월리),9,12,0,0,4,4,0,0,0,0,0,3,0,0,0,1,0
8,1주,3~9,32주,강화 삼산면 (석모리),262,18,0,0,0,6,0,0,0,0,0,1,5,0,0,6,0
8,1주,3~9,32주,강화 교동면 (대룡리),3,24,0,0,1,2,0,0,0,0,1,0,0,0,0,20,0
8,1주,3~9,32주,강화 강화읍 (대산리),1,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
8,1주,3~9,32주,강화 강화읍 (월곳리),2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,2주,10~16,33주,계양구 선주지동,29,123,0,16,40,28,0,0,0,1,6,7,15,0,0,10,0
8,2주,10~16,33주,부평구 부평동,3,23,0,0,0,20,0,0,0,0,0,1,2,0,0,0,0
8,2주,10~16,33주, 서구 연희동,1,5,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0
8,2주,10~16,33주, 서구 백석동,24,46,0,0,0,19,0,0,1,7,3,3,8,0,2,1,2
8,2주,10~16,33주,중구 운남동 (영종도),10,48,0,0,0,7,0,0,0,0,7,7,25,0,0,2,0
8,2주,10~16,33주,강화 송해면 (숭뢰리),24,154,0,0,56,15,0,0,0,0,0,8,0,0,0,64,11
8,2주,10~16,33주,강화 송해면 (솔정리),18,173,0,0,60,43,0,0,0,0,2,35,9,0,0,24,0
8,2주,10~16,33주,강화 선원면 (금월리),5,28,0,0,16,4,0,0,0,0,0,2,2,0,0,4,0
8,2주,10~16,33주,강화 삼산면 (석모리),356,39,0,0,0,22,0,0,0,0,1,0,10,0,0,6,0
8,2주,10~16,33주,강화 교동면 (대룡리),5,47,0,0,11,13,0,0,0,0,0,0,8,0,0,15,0
8,2주,10~16,33주,강화 강화읍 (대산리),33,13,0,2,6,3,0,0,0,0,1,1,0,0,0,0,0
8,2주,10~16,33주,강화 강화읍 (월곳리),17,26,0,0,5,4,0,0,0,0,0,6,5,0,0,6,0
8,3주,17~23,34주,계양구 선주지동,66,131,0,8,30,24,4,0,1,0,2,31,18,0,0,13,0
